ship_layout,probability_map,action
"['#', '#', '#', '#', '#', '#', '#', '#', '#', '#', '#', '#', '#', 'O', 'O', 'O', 'O', '#', 'O', 'O', 'O', '#', 'O', '#', '#', 'O', 'O', '#', 'O', 'O', 'O', '#', 'O', 'O', 'O', '#', '#', '#', 'O', 'O', '#', '#', 'O', 'O', 'O', 'O', 'O', '#', '#', 'M', 'O', 'O', 'O', 'O', 'O', '#', '#', 'O', '#', '#', '#', 'O', 'O', '#', 'O', '#', 'O', 'O', 'O', 'O', 'O', '#', '#', 'O', 'O', 'O', '#', 'O', 'O', '#', '#', 'O', '#', '#', '#', '#', 'O', '#', 'O', 'O', 'O', '#', 'O', 'O', '#', '#', '#', '#', 'O', 'O', 'O', '#', 'O', 'O', 'O', 'O', '#', '#', '#', 'O', 'O', '#', 'O', 'O', 'O', '#', '#', 'O', 'R', '#', '#', 'O', 'O', 'O', 'O', '#', 'O', 'O', 'O', 'O', 'O', '#', '#', '#', '#', '#', '#', '#', '#', '#', '#', '#', '#', '#']","[0.009114326058308383, 0.021112123897080916, 0.017113155029944503, 0.01968481384672693, 0.017113155029944503, 0.009775189264154237, 0.008498141289374478, 0.013871653866118477, 0.014877462258938748, 0.012933844336643322, 0.010483970459113803, 0.015956199989012647, 0.012059436527111783, 0.008498141289374478, 0.012059436527111783, 0.013871653866118477, 0.010483970459113803, 0.013871653866118477, 0.012933844336643322, 0.010483970459113803, 0.011244144089427078, 0.015956199989012647, 0.012059436527111783, 0.018353998776687225, 0.015956199989012647, 0.012059436527111783, 0.014877462258938748, 0.009114326058308383, 0.013871653866118477, 0.009775189264154237, 0.00792361441890033, 0.011244144089427078, 0.015956199989012647, 0.010483970459113803, 0.007387929115500329, 0.022642925603271934, 0.013871653866118477, 0.009114326058308383, 0.013871653866118477, 0.014877462258938748, 0.013871653866118477, 0.00792361441890033, 0.022642925603271934, 0.012933844336643322, 0.018353998776687225, 0.013871653866118477, 0.014877462258938748, 0.014877462258938748, 0.012933844336643322, 0.013871653866118477, 0.009775189264154237, 0.018353998776687225, 0.012059436527111783, 0.015956199989012647, 0.010483970459113803, 0.014877462258938748, 0.012933844336643322, 0.012933844336643322, 0.012059436527111783, 0.017113155029944503, 0.021112123897080916, 0.018353998776687225, 0.009775189264154237, 0.011244144089427078, 0.012059436527111783, 0.018353998776687225, 0.014877462258938748, 0.017113155029944503, 0.01968481384672693, 0.01968481384672693, 0.011244144089427078, 0.018353998776687225, 0.0]",sense
"['#', '#', '#', '#', '#', '#', '#', '#', '#', '#', '#', '#', '#', 'O', 'O', 'O', 'O', '#', 'O', 'O', 'O', '#', 'O', '#', '#', 'O', 'O', '#', 'O', 'O', 'O', '#', 'O', 'O', 'O', '#', '#', '#', 'O', 'O', '#', '#', 'O', 'O', 'O', 'O', 'O', '#', '#', 'M', 'O', 'O', 'O', 'O', 'O', '#', '#', 'O', '#', '#', '#', 'O', 'O', '#', 'O', '#', 'O', 'O', 'O', 'O', 'O', '#', '#', 'O', 'O', 'O', '#', 'O', 'O', '#', '#', 'O', '#', '#', '#', '#', 'O', '#', 'O', 'O', 'O', '#', 'O', 'O', '#', '#', '#', '#', 'O', 'O', 'O', '#', 'O', 'O', 'O', 'O', '#', '#', '#', 'O', 'O', '#', 'O', 'O', 'O', '#', '#', 'O', 'R', '#', '#', 'O', 'O', 'O', 'O', '#', 'O', 'O', 'O', 'O', 'O', '#', '#', '#', '#', '#', '#', '#', '#', '#', '#', '#', '#', '#']","[0.009114326058308383, 0.021112123897080916, 0.017113155029944503, 0.01968481384672693, 0.017113155029944503, 0.009775189264154237, 0.008498141289374478, 0.013871653866118477, 0.014877462258938748, 0.012933844336643322, 0.010483970459113803, 0.015956199989012647, 0.012059436527111783, 0.008498141289374478, 0.012059436527111783, 0.013871653866118477, 0.010483970459113803, 0.013871653866118477, 0.012933844336643322, 0.010483970459113803, 0.011244144089427078, 0.015956199989012647, 0.012059436527111783, 0.018353998776687225, 0.015956199989012647, 0.012059436527111783, 0.014877462258938748, 0.009114326058308383, 0.013871653866118477, 0.009775189264154237, 0.00792361441890033, 0.011244144089427078, 0.015956199989012647, 0.010483970459113803, 0.007387929115500329, 0, 0.013871653866118477, 0.009114326058308383, 0.013871653866118477, 0.014877462258938748, 0.013871653866118477, 0.00792361441890033, 0.022642925603271934, 0.012933844336643322, 0.018353998776687225, 0.013871653866118477, 0.014877462258938748, 0.014877462258938748, 0.012933844336643322, 0.013871653866118477, 0.009775189264154237, 0.018353998776687225, 0.012059436527111783, 0.015956199989012647, 0.010483970459113803, 0.014877462258938748, 0.012933844336643322, 0.012933844336643322, 0.012059436527111783, 0.017113155029944503, 0.021112123897080916, 0.018353998776687225, 0.009775189264154237, 0.011244144089427078, 0.012059436527111783, 0.018353998776687225, 0.014877462258938748, 0.017113155029944503, 0.01968481384672693, 0.01968481384672693, 0.011244144089427078, 0.018353998776687225, 0.0]",up
"['#', '#', '#', '#', '#', '#', '#', '#', '#', '#', '#', '#', '#', 'O', 'O', 'O', 'O', '#', 'O', 'O', 'O', '#', 'O', '#', '#', 'O', 'O', '#', 'O', 'O', 'O', '#', 'O', 'O', 'O', '#', '#', '#', 'O', 'O', '#', '#', 'O', 'O', 'O', 'O', 'O', '#', '#', 'M', 'O', 'O', 'O', 'O', 'O', '#', '#', 'O', '#', '#', '#', 'O', 'O', '#', 'O', '#', 'O', 'O', 'O', 'O', 'O', '#', '#', 'O', 'O', 'O', '#', 'O', 'O', '#', '#', 'O', '#', '#', '#', '#', 'O', '#', 'O', 'O', 'O', '#', 'O', 'O', '#', '#', '#', '#', 'O', 'O', 'O', '#', 'O', 'O', 'O', 'O', '#', '#', '#', 'O', 'O', '#', 'O', 'O', 'O', '#', '#', 'O', 'O', '#', '#', 'O', 'O', 'O', 'O', '#', 'O', 'O', 'O', 'O', 'R', '#', '#', '#', '#', '#', '#', '#', '#', '#', '#', '#', '#', '#']","[0.009325482259320814, 0.02160123914804866, 0.01750962414684271, 0.020140861883951002, 0.01750962414684271, 0.010001656017262628, 0.008695022026233287, 0.014193025486289876, 0.015222135950795497, 0.013233489249184298, 0.010726857904604632, 0.016325865343392105, 0.012338823591731246, 0.008695022026233287, 0.012338823591731246, 0.014193025486289876, 0.010726857904604632, 0.014193025486289876, 0.013233489249184298, 0.010726857904604632, 0.01150464286183993, 0.016325865343392105, 0.012338823591731246, 0.018779215148175186, 0.016325865343392105, 0.012338823591731246, 0.015222135950795497, 0.009325482259320814, 0.014193025486289876, 0.010001656017262628, 0.008107184801206013, 0.01150464286183993, 0.016325865343392105, 0.010726857904604632, 0.007559089005479919, 0.0, 0.014193025486289876, 0.009325482259320814, 0.014193025486289876, 0.015222135950795497, 0.014193025486289876, 0.008107184801206013, 0.02316750571151105, 0.013233489249184298, 0.018779215148175186, 0.014193025486289876, 0.015222135950795497, 0.015222135950795497, 0.013233489249184298, 0.014193025486289876, 0.010001656017262628, 0.018779215148175186, 0.012338823591731246, 0.016325865343392105, 0.010726857904604632, 0.015222135950795497, 0.013233489249184298, 0.013233489249184298, 0.012338823591731246, 0.01750962414684271, 0.02160123914804866, 0.018779215148175186, 0.010001656017262628, 0.01150464286183993, 0.012338823591731246, 0.018779215148175186, 0.015222135950795497, 0.01750962414684271, 0.020140861883951002, 0.020140861883951002, 0.01150464286183993, 0.018779215148175186, 0]",down
"['#', '#', '#', '#', '#', '#', '#', '#', '#', '#', '#', '#', '#', 'O', 'O', 'O', 'O', '#', 'O', 'O', 'O', '#', 'O', '#', '#', 'O', 'O', '#', 'O', 'O', 'O', '#', 'O', 'O', 'O', '#', '#', '#', 'O', 'O', '#', '#', 'O', 'O', 'O', 'O', 'O', '#', '#', 'M', 'O', 'O', 'O', 'O', 'O', '#', '#', 'O', '#', '#', '#', 'O', 'O', '#', 'O', '#', 'O', 'O', 'O', 'O', 'O', '#', '#', 'O', 'O', 'O', '#', 'O', 'O', '#', '#', 'O', '#', '#', '#', '#', 'O', '#', 'O', 'O', 'O', '#', 'O', 'O', '#', '#', '#', '#', 'O', 'O', 'O', '#', 'O', 'O', 'O', 'O', '#', '#', '#', 'O', 'O', '#', 'O', 'O', 'O', '#', '#', 'O', 'R', '#', '#', 'O', 'O', 'O', 'O', '#', 'O', 'O', 'O', 'O', 'O', '#', '#', '#', '#', '#', '#', '#', '#', '#', '#', '#', '#', '#']","[0.009325482259320813, 0.021601239148048658, 0.017509624146842706, 0.020140861883951, 0.017509624146842706, 0.010001656017262626, 0.008695022026233285, 0.014193025486289873, 0.015222135950795494, 0.013233489249184294, 0.01072685790460463, 0.0163258653433921, 0.012338823591731243, 0.008695022026233285, 0.012338823591731243, 0.014193025486289873, 0.01072685790460463, 0.014193025486289873, 0.013233489249184294, 0.01072685790460463, 0.011504642861839928, 0.0163258653433921, 0.012338823591731243, 0.018779215148175182, 0.0163258653433921, 0.012338823591731243, 0.015222135950795494, 0.009325482259320813, 0.014193025486289873, 0.010001656017262626, 0.008107184801206011, 0.011504642861839928, 0.0163258653433921, 0.01072685790460463, 0.0075590890054799175, 0.0, 0.014193025486289873, 0.009325482259320813, 0.014193025486289873, 0.015222135950795494, 0.014193025486289873, 0.008107184801206011, 0, 0.013233489249184294, 0.018779215148175182, 0.014193025486289873, 0.015222135950795494, 0.015222135950795494, 0.013233489249184294, 0.014193025486289873, 0.010001656017262626, 0.018779215148175182, 0.012338823591731243, 0.0163258653433921, 0.01072685790460463, 0.015222135950795494, 0.013233489249184294, 0.013233489249184294, 0.012338823591731243, 0.017509624146842706, 0.021601239148048658, 0.018779215148175182, 0.010001656017262626, 0.011504642861839928, 0.012338823591731243, 0.018779215148175182, 0.015222135950795494, 0.017509624146842706, 0.020140861883951, 0.020140861883951, 0.011504642861839928, 0.018779215148175182, 0.0]",left
"['#', '#', '#', '#', '#', '#', '#', '#', '#', '#', '#', '#', '#', 'O', 'O', 'O', 'O', '#', 'O', 'O', 'O', '#', 'O', '#', '#', 'O', 'O', '#', 'O', 'O', 'O', '#', 'O', 'O', 'O', '#', '#', '#', 'O', 'O', '#', '#', 'O', 'O', 'O', 'O', 'O', '#', '#', 'M', 'O', 'O', 'O', 'O', 'O', '#', '#', 'O', '#', '#', '#', 'O', 'O', '#', 'O', '#', 'O', 'O', 'O', 'O', 'O', '#', '#', 'O', 'O', 'O', '#', 'O', 'O', '#', '#', 'O', '#', '#', '#', '#', 'O', '#', 'O', 'O', 'O', '#', 'O', 'O', '#', '#', '#', '#', 'O', 'O', 'O', '#', 'O', 'O', 'O', 'O', '#', '#', '#', 'O', 'O', '#', 'O', 'O', 'O', '#', '#', 'R', 'O', '#', '#', 'O', 'O', 'O', 'O', '#', 'O', 'O', 'O', 'O', 'O', '#', '#', '#', '#', '#', '#', '#', '#', '#', '#', '#', '#', '#']","[0.01694433883217439, 0.0, 0.010604168844278873, 0.004353596370934161, 0.010604168844278873, 0.017171939265556355, 0.01661019387523352, 0.01556300762269568, 0.014372763268209932, 0.016390345494645547, 0.01726561810532019, 0.012747778145925488, 0.016916209883261573, 0.01661019387523352, 0.016916209883261573, 0.01556300762269568, 0.01726561810532019, 0.01556300762269568, 0.016390345494645547, 0.01726561810532019, 0.017193060081165026, 0.017901719899802146, 0.016916209883261573, 0.014663435194902852, 0.012747778145925488, 0.016916209883261573, 0.014372763268209932, 0.01694433883217439, 0.01556300762269568, 0.017171939265556355, 0.016192636837970998, 0.017193060081165026, 0.012747778145925488, 0.01726561810532019, 0.01571115522584293, 0.0, 0.01556300762269568, 0.01694433883217439, 0.019458273004685462, 0.014372763268209932, 0.01556300762269568, 0.016192636837970998, -0.0, 0.016390345494645547, 0.007844101209297946, 0.01556300762269568, 0.014372763268209932, 0.01885338497670837, 0.016390345494645547, 0.01556300762269568, 0.017171939265556355, 0.007844101209297946, 0.016916209883261573, 0.012747778145925488, 0.01726561810532019, 0.014372763268209932, 0.016390345494645547, 0.016390345494645547, 0.016916209883261573, 0.010604168844278873, 0.0, 0.007844101209297946, 0.017171939265556355, 0.017193060081165026, 0.016916209883261573, 0.007844101209297946, 0.014372763268209932, 0.010604168844278873, 0.004353596370934161, 0.004353596370934161, 0.017193060081165026, 0.007844101209297946, 0.0]",sense
"['#', '#', '#', '#', '#', '#', '#', '#', '#', '#', '#', '#', '#', 'O', 'O', 'O', 'O', '#', 'O', 'O', 'O', '#', 'O', '#', '#', 'O', 'O', '#', 'O', 'O', 'O', '#', 'O', 'O', 'O', '#', '#', '#', 'O', 'O', '#', '#', 'O', 'O', 'O', 'O', 'O', '#', '#', 'M', 'O', 'O', 'O', 'O', 'O', '#', '#', 'O', '#', '#', '#', 'O', 'O', '#', 'O', '#', 'O', 'O', 'O', 'O', 'O', '#', '#', 'O', 'O', 'O', '#', 'O', 'O', '#', '#', 'O', '#', '#', '#', '#', 'O', '#', 'O', 'O', 'O', '#', 'O', 'O', '#', '#', '#', '#', 'O', 'O', 'O', '#', 'O', 'O', 'O', 'O', '#', '#', '#', 'O', 'O', '#', 'O', 'O', 'O', '#', '#', 'R', 'O', '#', '#', 'O', 'O', 'O', 'O', '#', 'O', 'O', 'O', 'O', 'O', '#', '#', '#', '#', '#', '#', '#', '#', '#', '#', '#', '#', '#']","[0.01694433883217439, 0.0, 0.010604168844278873, 0.004353596370934161, 0.010604168844278873, 0.017171939265556355, 0.01661019387523352, 0.01556300762269568, 0.014372763268209932, 0.016390345494645547, 0.01726561810532019, 0.012747778145925488, 0.016916209883261573, 0.01661019387523352, 0.016916209883261573, 0.01556300762269568, 0.01726561810532019, 0.01556300762269568, 0.016390345494645547, 0.01726561810532019, 0.017193060081165026, 0.017901719899802146, 0.016916209883261573, 0.014663435194902852, 0.012747778145925488, 0.016916209883261573, 0.014372763268209932, 0.01694433883217439, 0.01556300762269568, 0.017171939265556355, 0.016192636837970998, 0.017193060081165026, 0.012747778145925488, 0.01726561810532019, 0.01571115522584293, 0.0, 0.01556300762269568, 0.01694433883217439, 0.019458273004685462, 0.014372763268209932, 0.01556300762269568, 0.016192636837970998, -0.0, 0.016390345494645547, 0.007844101209297946, 0.01556300762269568, 0.014372763268209932, 0.01885338497670837, 0.016390345494645547, 0.01556300762269568, 0.017171939265556355, 0.007844101209297946, 0.016916209883261573, 0.012747778145925488, 0.01726561810532019, 0.014372763268209932, 0.016390345494645547, 0.016390345494645547, 0.016916209883261573, 0.010604168844278873, 0, 0.007844101209297946, 0.017171939265556355, 0.017193060081165026, 0.016916209883261573, 0.007844101209297946, 0.014372763268209932, 0.010604168844278873, 0.004353596370934161, 0.004353596370934161, 0.017193060081165026, 0.007844101209297946, 0.0]",down
"['#', '#', '#', '#', '#', '#', '#', '#', '#', '#', '#', '#', '#', 'O', 'O', 'O', 'O', '#', 'O', 'O', 'O', '#', 'O', '#', '#', 'O', 'O', '#', 'O', 'O', 'O', '#', 'O', 'O', 'O', '#', '#', '#', 'O', 'O', '#', '#', 'O', 'O', 'O', 'O', 'O', '#', '#', 'M', 'O', 'O', 'O', 'O', 'O', '#', '#', 'O', '#', '#', '#', 'O', 'O', '#', 'O', '#', 'O', 'O', 'O', 'O', 'O', '#', '#', 'O', 'O', 'O', '#', 'O', 'O', '#', '#', 'O', '#', '#', '#', '#', 'O', '#', 'O', 'O', 'O', '#', 'O', 'O', '#', '#', '#', '#', 'O', 'O', 'O', '#', 'O', 'O', 'O', 'R', '#', '#', '#', 'O', 'O', '#', 'O', 'O', 'O', '#', '#', 'O', 'O', '#', '#', 'O', 'O', 'O', 'O', '#', 'O', 'O', 'O', 'O', 'O', '#', '#', '#', '#', '#', '#', '#', '#', '#', '#', '#', '#', '#']","[0.016944338832174402, 0.0, 0.010604168844278878, 0.004353596370934164, 0.010604168844278878, 0.017171939265556366, 0.01661019387523353, 0.015563007622695689, 0.01437276326820994, 0.016390345494645558, 0.0172656181053202, 0.012747778145925495, 0.016916209883261583, 0.01661019387523353, 0.016916209883261583, 0.015563007622695689, 0.0172656181053202, 0.015563007622695689, 0.016390345494645558, 0.0172656181053202, 0.017193060081165036, 0.017901719899802156, 0.016916209883261583, 0.01466343519490286, 0.012747778145925495, 0.016916209883261583, 0.01437276326820994, 0.016944338832174402, 0.015563007622695689, 0.017171939265556366, 0.01619263683797101, 0.017193060081165036, 0.012747778145925495, 0.0172656181053202, 0.01571115522584294, 0.0, 0.015563007622695689, 0.016944338832174402, 0.019458273004685472, 0.01437276326820994, 0.015563007622695689, 0.01619263683797101, -0.0, 0.016390345494645558, 0.007844101209297951, 0.015563007622695689, 0.01437276326820994, 0.01885338497670838, 0.016390345494645558, 0.015563007622695689, 0.017171939265556366, 0.007844101209297951, 0.016916209883261583, 0.012747778145925495, 0.0172656181053202, 0.01437276326820994, 0.016390345494645558, 0.016390345494645558, 0.016916209883261583, 0.010604168844278878, 0.0, 0.007844101209297951, 0.017171939265556366, 0.017193060081165036, 0.016916209883261583, 0.007844101209297951, 0.01437276326820994, 0.010604168844278878, 0, 0.004353596370934164, 0.017193060081165036, 0.007844101209297951, 0.0]",down
"['#', '#', '#', '#', '#', '#', '#', '#', '#', '#', '#', '#', '#', 'O', 'O', 'O', 'O', '#', 'O', 'O', 'O', '#', 'O', '#', '#', 'O', 'O', '#', 'O', 'O', 'O', '#', 'O', 'O', 'O', '#', '#', '#', 'O', 'O', '#', '#', 'O', 'O', 'O', 'O', 'O', '#', '#', 'M', 'O', 'O', 'O', 'O', 'O', '#', '#', 'O', '#', '#', '#', 'O', 'O', '#', 'O', '#', 'O', 'O', 'O', 'O', 'O', '#', '#', 'O', 'O', 'O', '#', 'O', 'O', '#', '#', 'O', '#', '#', '#', '#', 'O', '#', 'O', 'O', 'O', '#', 'O', 'R', '#', '#', '#', '#', 'O', 'O', 'O', '#', 'O', 'O', 'O', 'O', '#', '#', '#', 'O', 'O', '#', 'O', 'O', 'O', '#', '#', 'O', 'O', '#', '#', 'O', 'O', 'O', 'O', '#', 'O', 'O', 'O', 'O', 'O', '#', '#', '#', '#', '#', '#', '#', '#', '#', '#', '#', '#', '#']","[0.017018430208167675, 0.0, 0.010650536983438475, 0.004372633050313436, 0.010650536983438475, 0.017247025854726913, 0.01668282415794449, 0.015631058944188966, 0.014435610087900846, 0.016462014461061502, 0.01734111431768161, 0.012803519501964431, 0.01699017826168317, 0.01668282415794449, 0.01699017826168317, 0.015631058944188966, 0.01734111431768161, 0.015631058944188966, 0.016462014461061502, 0.01734111431768161, 0.017268239023911964, 0.017979997551893483, 0.01699017826168317, 0.014727553016267221, 0.012803519501964431, 0.01699017826168317, 0.014435610087900846, 0.017018430208167675, 0.015631058944188966, 0.017247025854726913, 0.016263441296980444, 0.017268239023911964, 0.012803519501964431, 0.01734111431768161, 0.015779854342442064, 0.0, 0.015631058944188966, 0.017018430208167675, 0.019543356892327782, 0.014435610087900846, 0.015631058944188966, 0.016263441296980444, -0.0, 0.016462014461061502, 0.00787840058549573, 0.015631058944188966, 0.014435610087900846, 0.01893582391096782, 0.016462014461061502, 0.015631058944188966, 0.017247025854726913, 0.00787840058549573, 0.01699017826168317, 0.012803519501964431, 0.01734111431768161, 0.014435610087900846, 0.016462014461061502, 0.016462014461061502, 0.01699017826168317, 0.010650536983438475, 0.0, 0.00787840058549573, 0.017247025854726913, 0.017268239023911964, 0.01699017826168317, 0.00787840058549573, 0.014435610087900846, 0.010650536983438475, 0.0, 0.004372633050313436, 0.017268239023911964, 0, 0.0]",down
"['#', '#', '#', '#', '#', '#', '#', '#', '#', '#', '#', '#', '#', 'O', 'O', 'O', 'O', '#', 'O', 'O', 'O', '#', 'O', '#', '#', 'O', 'O', '#', 'O', 'O', 'O', '#', 'O', 'O', 'O', '#', '#', '#', 'O', 'O', '#', '#', 'O', 'O', 'O', 'O', 'O', '#', '#', 'M', 'O', 'O', 'O', 'O', 'O', '#', '#', 'O', '#', '#', '#', 'O', 'O', '#', 'O', '#', 'O', 'O', 'O', 'O', 'O', '#', '#', 'O', 'O', 'O', '#', 'O', 'O', '#', '#', 'R', '#', '#', '#', '#', 'O', '#', 'O', 'O', 'O', '#', 'O', 'O', '#', '#', '#', '#', 'O', 'O', 'O', '#', 'O', 'O', 'O', 'O', '#', '#', '#', 'O', 'O', '#', 'O', 'O', 'O', '#', '#', 'O', 'O', '#', '#', 'O', 'O', 'O', 'O', '#', 'O', 'O', 'O', 'O', 'O', '#', '#', '#', '#', '#', '#', '#', '#', '#', '#', '#', '#', '#']","[0.017153572927160365, 0.0, 0.01073511250004419, 0.004407355966137543, 0.01073511250004419, 0.017383983843215555, 0.01681530184182038, 0.015755184599764348, 0.014550242728734014, 0.01659273870337717, 0.017478819459142297, 0.012905191772379887, 0.01712509663302346, 0.01681530184182038, 0.01712509663302346, 0.015755184599764348, 0.017478819459142297, 0.015755184599764348, 0.01659273870337717, 0.017478819459142297, 0.017405365465385226, 0.018122776041267823, 0.01712509663302346, 0.014844503964996448, 0.012905191772379887, 0.01712509663302346, 0.014550242728734014, 0.017153572927160365, 0.015755184599764348, 0.017383983843215555, 0.016392588677212792, 0.017405365465385226, 0.012905191772379887, 0.017478819459142297, 0.01590516157672051, 0.0, 0.015755184599764348, 0.017153572927160365, 0.019698549959865006, 0.014550242728734014, 0.015755184599764348, 0.016392588677212792, -0.0, 0.01659273870337717, 0.00794096267044799, 0.015755184599764348, 0.014550242728734014, 0.019086192581779, 0.01659273870337717, 0.015755184599764348, 0.017383983843215555, 0.00794096267044799, 0.01712509663302346, 0.012905191772379887, 0.017478819459142297, 0.014550242728734014, 0.01659273870337717, 0.01659273870337717, 0.01712509663302346, 0.01073511250004419, 0.0, 0.00794096267044799, 0.017383983843215555, 0.017405365465385226, 0.01712509663302346, 0.00794096267044799, 0.014550242728734014, 0, 0.0, 0.004407355966137543, 0.017405365465385226, 0.0, 0.0]",down
"['#', '#', '#', '#', '#', '#', '#', '#', '#', '#', '#', '#', '#', 'O', 'O', 'O', 'O', '#', 'O', 'O', 'O', '#', 'O', '#', '#', 'O', 'O', '#', 'O', 'O', 'O', '#', 'O', 'O', 'O', '#', '#', '#', 'O', 'O', '#', '#', 'O', 'O', 'O', 'O', 'O', '#', '#', 'M', 'O', 'O', 'O', 'O', 'O', '#', '#', 'O', '#', '#', '#', 'O', 'O', '#', 'O', '#', 'O', 'O', 'O', 'R', 'O', '#', '#', 'O', 'O', 'O', '#', 'O', 'O', '#', '#', 'O', '#', '#', '#', '#', 'O', '#', 'O', 'O', 'O', '#', 'O', 'O', '#', '#', '#', '#', 'O', 'O', 'O', '#', 'O', 'O', 'O', 'O', '#', '#', '#', 'O', 'O', '#', 'O', 'O', 'O', '#', '#', 'O', 'O', '#', '#', 'O', 'O', 'O', 'O', '#', 'O', 'O', 'O', 'O', 'O', '#', '#', '#', '#', '#', '#', '#', '#', '#', '#', '#', '#', '#']","[0.014620936958378074, 0.0, 0.009813588087597507, 0.005330915618932517, 0.009813588087597507, 0.015891706468662108, 0.013363636840025258, 0.011674623397844256, 0.0175992401834163, 0.013186759078084986, 0.0171369660080309, 0.019257060009303505, 0.014596665041200711, 0.013363636840025258, 0.016790161347588428, 0.020438442133919366, 0.0171369660080309, 0.017768327987844744, 0.011464017602753148, 0.0171369660080309, 0.018302297027829154, 0.02350980447610705, 0.019313282676716323, 0.022150891571723137, 0.014554172863268834, 0.019313282676716323, 0.020243944862779036, 0.014620936958378074, 0.013429013406065783, 0.015891706468662108, 0.01214694109804894, 0.015911252647858358, 0.010999807220394706, 0.0171369660080309, 0.01098896665280731, 0.0, 0.011674623397844256, 0.014620936958378074, 0.022215563032949963, 0.011563524793675038, 0.020438442133919366, 0.01214694109804894, -0.0, 0.020069740360050364, 0.00778565209581879, 0.01544704226549992, 0.020243944862779036, 0.023085696486033345, 0.020069740360050364, 0.020438442133919366, 0.015891706468662108, 0.010301428396465289, 0.019313282676716323, 0.019257060009303505, 0.01489816252883106, 0.015300044390214552, 0.020069740360050364, 0.011464017602753148, 0.019313282676716323, 0.01128831324994082, 0.0, 0.00778565209581879, 0.015891706468662108, 0.018302297027829154, 0.011031922117614664, 0.008955631612838213, 0.013301219592600319, 0.0, 0.0, 0.004634475395535105, 0.018302297027829154, 0.0, 0.0]",sense
